source,nct_id,brief_title,overall_status,start_date,study_type,conditions
ClinicalTrials.gov API,NCT07012577,Observational Study on AI Accuracy in Diagnosing and Treating Failed or Painful Hip Arthroplasty,COMPLETED,2025-05-31,OBSERVATIONAL,Total Hip Arthroplasty (THA)
ClinicalTrials.gov API,NCT07453056,The Efficacy of AI-Driven Feces Identification for Bowel Preparation Prior to Colonoscopy,ENROLLING_BY_INVITATION,2025-09-04,INTERVENTIONAL,AI App Improves Bowel Preparation Quality for Colonoscopy
ClinicalTrials.gov API,NCT06053645,The Weight of Cardiovascular Disease,RECRUITING,2024-04-22,OBSERVATIONAL,Cardiovascular Diseases; Obesity
ClinicalTrials.gov API,NCT05624996,"Testing the Addition of High Dose, Targeted Radiation to the Usual Treatment for Locally-Advanced Inoperable Non-Small Cell Lung Cancer",RECRUITING,2023-07-12,INTERVENTIONAL,Locally Advanced Lung Non-Small Cell Carcinoma; Stage IIB Lung Cancer AJCC v8; Stage III Lung Cancer AJCC v8
ClinicalTrials.gov API,NCT05497258,IDEAS-AAP System Diagnoses Acute Abdominal Pain,COMPLETED,2022-08-15,INTERVENTIONAL,Artificial Intelligence; Diagnoses Disease
ClinicalTrials.gov API,NCT07395713,The Predictability of the Necessity for Cardiology Consultation in Patients Scheduled for Non-Cardiac Surgery Using Artificial Intelligence Models in Preoperative Anesthesia Assessment,ACTIVE_NOT_RECRUITING,2025-01-01,OBSERVATIONAL,USE OF ARTIFICIAL INTELLIGENCE IN ANESTHESIA; PREOPERATIVE CARDIOLOGY CONSULTATION REQUIREMENT
ClinicalTrials.gov API,NCT04602338,Diagnosis and OutcoMes evaluAtIoN of Multicenter Patients With HFpEF Using Multimodality Imaging,RECRUITING,2020-11-01,OBSERVATIONAL,"Heart Failure, Diastolic; Multicenter Study"
ClinicalTrials.gov API,NCT04923958,Rapid Research in Diagnostics Development for TB Network,RECRUITING,2021-04-14,INTERVENTIONAL,Tuberculosis
ClinicalTrials.gov API,NCT06767371,Success of Pulpotomy in Molars With Pulpitis With Periodontitis Detected Using AI and Those Without Periodontitis,COMPLETED,2024-11-03,INTERVENTIONAL,Irreversible Pulpitis; Apical Periodontitis; Pulpitis
ClinicalTrials.gov API,NCT07459036,Artificial Intelligence-Guided Versus Manual CBCT Planning for Immediate Implant Placement,NOT_YET_RECRUITING,2026-03-03,INTERVENTIONAL,Dental Implant; Immediate Implant; Guided Bone Regeneration
ClinicalTrials.gov API,NCT04781257,Early Risk Assessment in Household Contacts (≥10 Years) of TB Patients by New Diagnostic Tests in 3 African Countries,UNKNOWN,2021-03-01,OBSERVATIONAL,Tuberculosis
