source,source_file,frame,year,row_index,topic,measure_name,numeric_value
CMS Program Statistics Physician Supplier,MDCR PHYSSUPP_CPS10UPS_2023.xlsx,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS,2026,6,2018 | 33366109 | 33601370 | 1144136169 | 34.05 | 34.29 | 143458996677.4158 | 4269 | 4300 | 109928103494.3219 | 3272 | 3295 | 5073019264 | 25440478088 | 37627185 | 58,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS::cell_10,3272.0
CMS Program Statistics Physician Supplier,MDCR PHYSSUPP_CPS10UPS_2023.xlsx,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS,2026,6,2018 | 33366109 | 33601370 | 1144136169 | 34.05 | 34.29 | 143458996677.4158 | 4269 | 4300 | 109928103494.3219 | 3272 | 3295 | 5073019264 | 25440478088 | 37627185 | 58,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS::cell_11,3295.0
CMS Program Statistics Physician Supplier,MDCR PHYSSUPP_CPS10UPS_2023.xlsx,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS,2026,6,2018 | 33366109 | 33601370 | 1144136169 | 34.05 | 34.29 | 143458996677.4158 | 4269 | 4300 | 109928103494.3219 | 3272 | 3295 | 5073019264 | 25440478088 | 37627185 | 58,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS::cell_12,5073019264.0
CMS Program Statistics Physician Supplier,MDCR PHYSSUPP_CPS10UPS_2023.xlsx,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS,2026,6,2018 | 33366109 | 33601370 | 1144136169 | 34.05 | 34.29 | 143458996677.4158 | 4269 | 4300 | 109928103494.3219 | 3272 | 3295 | 5073019264 | 25440478088 | 37627185 | 58,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS::cell_13,25440478088.0
CMS Program Statistics Physician Supplier,MDCR PHYSSUPP_CPS10UPS_2023.xlsx,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS,2026,6,2018 | 33366109 | 33601370 | 1144136169 | 34.05 | 34.29 | 143458996677.4158 | 4269 | 4300 | 109928103494.3219 | 3272 | 3295 | 5073019264 | 25440478088 | 37627185 | 58,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS::cell_14,37627185.0
CMS Program Statistics Physician Supplier,MDCR PHYSSUPP_CPS10UPS_2023.xlsx,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS,2026,6,2018 | 33366109 | 33601370 | 1144136169 | 34.05 | 34.29 | 143458996677.4158 | 4269 | 4300 | 109928103494.3219 | 3272 | 3295 | 5073019264 | 25440478088 | 37627185 | 58,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS::cell_15,58.0
CMS Program Statistics Physician Supplier,MDCR PHYSSUPP_CPS10UPS_2023.xlsx,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS,2026,7,2019 | 33077390 | 33183924 | 1149496275 | 34.64 | 34.75 | 149116675167.2595 | 4494 | 4508 | 114812534256.0973 | 3460 | 3471 | 5083688084 | 26503963522 | 35377554 | 62,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS::cell_0,2019.0
CMS Program Statistics Physician Supplier,MDCR PHYSSUPP_CPS10UPS_2023.xlsx,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS,2026,7,2019 | 33077390 | 33183924 | 1149496275 | 34.64 | 34.75 | 149116675167.2595 | 4494 | 4508 | 114812534256.0973 | 3460 | 3471 | 5083688084 | 26503963522 | 35377554 | 62,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS::cell_1,33077390.0
CMS Program Statistics Physician Supplier,MDCR PHYSSUPP_CPS10UPS_2023.xlsx,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS,2026,7,2019 | 33077390 | 33183924 | 1149496275 | 34.64 | 34.75 | 149116675167.2595 | 4494 | 4508 | 114812534256.0973 | 3460 | 3471 | 5083688084 | 26503963522 | 35377554 | 62,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS::cell_2,33183924.0
CMS Program Statistics Physician Supplier,MDCR PHYSSUPP_CPS10UPS_2023.xlsx,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS,2026,7,2019 | 33077390 | 33183924 | 1149496275 | 34.64 | 34.75 | 149116675167.2595 | 4494 | 4508 | 114812534256.0973 | 3460 | 3471 | 5083688084 | 26503963522 | 35377554 | 62,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS::cell_3,1149496275.0
CMS Program Statistics Physician Supplier,MDCR PHYSSUPP_CPS10UPS_2023.xlsx,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS,2026,7,2019 | 33077390 | 33183924 | 1149496275 | 34.64 | 34.75 | 149116675167.2595 | 4494 | 4508 | 114812534256.0973 | 3460 | 3471 | 5083688084 | 26503963522 | 35377554 | 62,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS::cell_4,34.64
CMS Program Statistics Physician Supplier,MDCR PHYSSUPP_CPS10UPS_2023.xlsx,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS,2026,7,2019 | 33077390 | 33183924 | 1149496275 | 34.64 | 34.75 | 149116675167.2595 | 4494 | 4508 | 114812534256.0973 | 3460 | 3471 | 5083688084 | 26503963522 | 35377554 | 62,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS::cell_5,34.75
CMS Program Statistics Physician Supplier,MDCR PHYSSUPP_CPS10UPS_2023.xlsx,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS,2026,7,2019 | 33077390 | 33183924 | 1149496275 | 34.64 | 34.75 | 149116675167.2595 | 4494 | 4508 | 114812534256.0973 | 3460 | 3471 | 5083688084 | 26503963522 | 35377554 | 62,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS::cell_6,149116675167.2595
CMS Program Statistics Physician Supplier,MDCR PHYSSUPP_CPS10UPS_2023.xlsx,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS,2026,7,2019 | 33077390 | 33183924 | 1149496275 | 34.64 | 34.75 | 149116675167.2595 | 4494 | 4508 | 114812534256.0973 | 3460 | 3471 | 5083688084 | 26503963522 | 35377554 | 62,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS::cell_7,4494.0
CMS Program Statistics Physician Supplier,MDCR PHYSSUPP_CPS10UPS_2023.xlsx,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS,2026,7,2019 | 33077390 | 33183924 | 1149496275 | 34.64 | 34.75 | 149116675167.2595 | 4494 | 4508 | 114812534256.0973 | 3460 | 3471 | 5083688084 | 26503963522 | 35377554 | 62,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS::cell_8,4508.0
CMS Program Statistics Physician Supplier,MDCR PHYSSUPP_CPS10UPS_2023.xlsx,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS,2026,7,2019 | 33077390 | 33183924 | 1149496275 | 34.64 | 34.75 | 149116675167.2595 | 4494 | 4508 | 114812534256.0973 | 3460 | 3471 | 5083688084 | 26503963522 | 35377554 | 62,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS::cell_9,114812534256.0973
CMS Program Statistics Physician Supplier,MDCR PHYSSUPP_CPS10UPS_2023.xlsx,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS,2026,7,2019 | 33077390 | 33183924 | 1149496275 | 34.64 | 34.75 | 149116675167.2595 | 4494 | 4508 | 114812534256.0973 | 3460 | 3471 | 5083688084 | 26503963522 | 35377554 | 62,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS::cell_10,3460.0
